epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.982,0.69916,3.4156,1.10869,0.30223,0.45624,0.31439,0.28607,0.4233,2.44277,0.85729,0.000194296,0.000194296,0.000194296
2,258.828,0.77834,2.4267,1.16355,0.52006,0.61835,0.586,0.49367,0.5315,1.902,0.94675,0.000382568,0.000382568,0.000382568
3,378.02,0.78247,1.82503,1.13584,0.7116,0.69848,0.75121,0.63568,0.57469,1.45592,0.94093,0.000563078,0.000563078,0.000563078
4,495.794,0.73458,1.59229,1.10866,0.74586,0.69586,0.76796,0.64062,0.48821,1.37729,0.89613,0.000553073,0.000553073,0.000553073
5,612.554,0.71781,1.41917,1.1007,0.79155,0.82594,0.86683,0.75887,0.44611,1.11315,0.87612,0.00054143,0.00054143,0.00054143
6,740.79,0.67257,1.25898,1.07043,0.84438,0.85991,0.9075,0.81207,0.42245,0.95323,0.86223,0.000529788,0.000529788,0.000529788
7,871.165,0.65478,1.178,1.05581,0.84224,0.83169,0.88543,0.77902,0.40329,0.96803,0.85323,0.000518146,0.000518146,0.000518146
8,1002.57,0.63198,1.13994,1.04841,0.83146,0.88206,0.91249,0.7955,0.38505,0.8972,0.84572,0.000506503,0.000506503,0.000506503
9,1121.66,0.62951,1.072,1.04382,0.92735,0.83008,0.94435,0.8503,0.38625,0.80437,0.84089,0.000494861,0.000494861,0.000494861
10,1247.87,0.63085,1.00086,1.04499,0.9177,0.86016,0.94127,0.84485,0.39553,0.78596,0.85157,0.000483218,0.000483218,0.000483218
11,1374.88,0.60449,0.95309,1.035,0.93907,0.88297,0.94906,0.84979,0.39823,0.72691,0.84292,0.000471576,0.000471576,0.000471576
12,1490.38,0.60228,0.94826,1.03064,0.92621,0.91028,0.94704,0.85444,0.36096,0.71184,0.83345,0.000459934,0.000459934,0.000459934
13,1610.58,0.59866,0.91479,1.02979,0.91979,0.88389,0.93574,0.84123,0.35738,0.69046,0.82854,0.000448291,0.000448291,0.000448291
