epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.75,0.75581,3.46637,1.14247,0.28377,0.48421,0.28211,0.25496,0.42029,2.46784,0.85742,0.000194296,0.000194296,0.000194296
2,378.029,0.8387,2.57662,1.20561,0.47545,0.53082,0.50172,0.41734,0.52175,1.92293,0.93022,0.000382568,0.000382568,0.000382568
3,571.258,0.82493,2.00957,1.16807,0.61683,0.70989,0.73201,0.63156,0.49644,1.49881,0.9018,0.000563078,0.000563078,0.000563078
4,765.942,0.77417,1.77998,1.13932,0.66795,0.71582,0.77014,0.64672,0.48623,1.33609,0.89879,0.000553073,0.000553073,0.000553073
5,953.346,0.78656,1.61423,1.14297,0.84369,0.77111,0.87408,0.76533,0.4757,1.10349,0.88062,0.00054143,0.00054143,0.00054143
6,1149.96,0.74059,1.46604,1.1102,0.84883,0.77463,0.8744,0.77169,0.43128,1.06168,0.86156,0.000529788,0.000529788,0.000529788
7,1349.78,0.74509,1.40295,1.11152,0.8133,0.81305,0.87511,0.76972,0.42822,0.99522,0.86019,0.000518146,0.000518146,0.000518146
8,1538.88,0.70616,1.31289,1.08583,0.84515,0.82026,0.8887,0.77578,0.42064,0.93036,0.86327,0.000506503,0.000506503,0.000506503
9,1731.5,0.69134,1.25611,1.07895,0.85796,0.85233,0.90228,0.79684,0.40467,0.87132,0.85864,0.000494861,0.000494861,0.000494861
10,1919.69,0.69909,1.17203,1.08435,0.89915,0.82599,0.90811,0.80413,0.39274,0.88951,0.85671,0.000483218,0.000483218,0.000483218
11,2112.95,0.64642,1.15142,1.06067,0.87004,0.84851,0.90913,0.81782,0.36229,0.79132,0.83575,0.000471576,0.000471576,0.000471576
12,2311.92,0.65717,1.15479,1.06701,0.86492,0.86604,0.91684,0.8175,0.37522,0.78729,0.83233,0.000459934,0.000459934,0.000459934
13,2496.86,0.66148,1.09076,1.06402,0.89284,0.85832,0.93462,0.83574,0.36924,0.69185,0.83531,0.000448291,0.000448291,0.000448291
14,2685.48,0.64325,1.00467,1.04958,0.88214,0.88678,0.92508,0.8255,0.35234,0.75192,0.83389,0.000436649,0.000436649,0.000436649
15,2873.15,0.63271,0.98925,1.0468,0.92879,0.89172,0.95565,0.86046,0.3587,0.65951,0.83053,0.000425006,0.000425006,0.000425006
16,3075.72,0.61364,0.97193,1.04398,0.91836,0.90192,0.94067,0.84206,0.34508,0.64217,0.82886,0.000413364,0.000413364,0.000413364
17,3277.9,0.61839,0.97403,1.04857,0.87458,0.90611,0.94156,0.84339,0.36243,0.68196,0.83518,0.000401722,0.000401722,0.000401722
18,3481.65,0.60254,0.91978,1.03855,0.92302,0.92298,0.96209,0.87554,0.33666,0.62434,0.82288,0.000390079,0.000390079,0.000390079
19,3685.17,0.60246,0.87233,1.03895,0.93907,0.92678,0.95967,0.87219,0.32345,0.56375,0.81791,0.000378437,0.000378437,0.000378437
20,3891.9,0.60872,0.86589,1.03406,0.94283,0.91067,0.9601,0.87445,0.32476,0.55265,0.81839,0.000366794,0.000366794,0.000366794
21,4096.44,0.5872,0.84382,1.02263,0.92694,0.92962,0.96641,0.87728,0.32326,0.55441,0.8173,0.000355152,0.000355152,0.000355152
22,4303.93,0.61773,0.8664,1.03315,0.93046,0.9323,0.9597,0.86317,0.33903,0.54858,0.82198,0.00034351,0.00034351,0.00034351
23,4508.57,0.6002,0.82328,1.035,0.9417,0.91124,0.96894,0.89376,0.30157,0.51536,0.80948,0.000331867,0.000331867,0.000331867
24,4713.45,0.58848,0.82427,1.01743,0.95638,0.90087,0.96777,0.8782,0.32183,0.51158,0.81691,0.000320225,0.000320225,0.000320225
25,4915.69,0.58093,0.7963,1.02236,0.95983,0.91329,0.97023,0.89291,0.30355,0.49735,0.80673,0.000308582,0.000308582,0.000308582
26,5119.66,0.57572,0.77663,1.01634,0.92777,0.90671,0.96223,0.88171,0.29859,0.51167,0.80641,0.00029694,0.00029694,0.00029694
27,5329.24,0.54366,0.74707,0.9977,0.94866,0.91501,0.96874,0.88415,0.30495,0.47421,0.80699,0.000285298,0.000285298,0.000285298
28,5521.57,0.54724,0.75234,1.01108,0.96392,0.91034,0.96992,0.88868,0.30443,0.47909,0.8076,0.000273655,0.000273655,0.000273655
29,5717.66,0.55524,0.71211,1.00563,0.95147,0.93881,0.97232,0.89956,0.29619,0.45821,0.80618,0.000262013,0.000262013,0.000262013
30,5913.28,0.5488,0.70731,1.00778,0.95421,0.93541,0.97268,0.89801,0.29721,0.45789,0.80437,0.00025037,0.00025037,0.00025037
31,6110.18,0.54327,0.71505,1.00313,0.94911,0.95249,0.9766,0.90593,0.28514,0.44397,0.80109,0.000238728,0.000238728,0.000238728
32,6304.38,0.5406,0.702,1.00397,0.9626,0.93393,0.97526,0.90188,0.28071,0.44703,0.80073,0.000227086,0.000227086,0.000227086
33,6498.16,0.52139,0.69079,0.99473,0.96882,0.92758,0.97322,0.90413,0.28108,0.43114,0.80073,0.000215443,0.000215443,0.000215443
34,6694.63,0.52337,0.66655,0.99869,0.97198,0.94556,0.97675,0.89934,0.27251,0.42764,0.79833,0.000203801,0.000203801,0.000203801
35,6891.16,0.53433,0.68208,1.00198,0.96195,0.93376,0.97547,0.89851,0.27639,0.41056,0.79784,0.000192158,0.000192158,0.000192158
36,7088.87,0.5082,0.61904,0.98525,0.95423,0.94406,0.97598,0.90252,0.26787,0.40714,0.79669,0.000180516,0.000180516,0.000180516
